Time,Temp,DTA,m
0,24.13,-0.5,4.38
0.1,24.12,-0.5,4.38
0.2,24.04,-0.5,4.38
0.3,23.94,-0.5,4.38
0.4,23.94,-0.5,4.38
0.5,23.98,-0.5,4.38
0.6,24.03,-0.5,4.38
0.7,24.06,-0.5,4.38
0.8,24.07,-0.5,4.38
0.9,24.09,-0.5,4.38
1,24.12,-0.49,4.38
1.1,24.21,-0.5,4.38
1.2,24.27,-0.49,4.38
1.3,24.25,-0.49,4.38
1.4,24.23,-0.49,4.38
1.5,24.22,-0.49,4.38
1.6,24.23,-0.49,4.38
1.7,24.31,-0.49,4.38
1.8,24.37,-0.49,4.38
1.9,24.39,-0.49,4.38
2,24.41,-0.49,4.38
2.1,24.42,-0.49,4.38
2.2,24.41,-0.49,4.38
2.3,24.36,-0.49,4.38
2.4,24.29,-0.49,4.38
2.5,24.24,-0.49,4.38
2.6,24.21,-0.49,4.38
2.7,24.2,-0.49,4.38
2.8,24.13,-0.49,4.38
2.9,23.96,-0.49,4.38
3,23.83,-0.49,4.38
3.1,23.78,-0.49,4.38
3.2,23.76,-0.49,4.38
3.3,23.81,-0.49,4.38
3.4,23.89,-0.49,4.38
3.5,23.91,-0.49,4.38
3.6,23.92,-0.49,4.38
3.7,24,-0.49,4.38
3.8,24.1,-0.49,4.38
3.9,24.18,-0.49,4.38
4,24.22,-0.49,4.38
4.1,24.21,-0.49,4.38
4.2,24.17,-0.49,4.38
4.3,24.18,-0.49,4.38
4.4,24.26,-0.49,4.38
4.5,24.31,-0.49,4.38
4.6,24.3,-0.49,4.38
4.7,24.33,-0.49,4.38
4.8,24.37,-0.49,4.38
4.9,24.37,-0.49,4.38
5,24.33,-0.49,4.38
5.1,24.32,-0.49,4.38
5.2,24.33,-0.49,4.38
5.3,24.35,-0.48,4.38
5.4,24.37,-0.48,4.38
5.5,24.31,-0.48,4.38
5.6,24.23,-0.48,4.38
5.7,24.24,-0.48,4.37
5.8,24.31,-0.48,4.37
5.9,24.36,-0.48,4.37
6,24.42,-0.48,4.37
6.1,24.45,-0.48,4.37
6.2,24.46,-0.48,4.37
6.3,24.49,-0.48,4.37
6.4,24.51,-0.48,4.37
6.5,24.54,-0.48,4.37
6.6,24.54,-0.48,4.37
6.7,24.51,-0.48,4.37
